"","id","season_id","date","country","contact_person","email","phone","user_id","field_num","village_name","district","province","latitude","longitude","farmer_name","field_area","id_fertil_org","id_main.x","apply.x","wm_method","id_act_ingr.x","devel_stage.x","mix_type.x","id_pest","id_main.y","id_act_ingr.y","pest_type","apply.y","devel_stage.y","days_applied","mix_type.y","id_fungicide","id_main","apply","brand","amount","volume","devel_stage"
"11",4,4,"2015-08-19","IN","","s.jaisong@irri.org","",4,"testS","Kumbakonum","Thanjavur","IN-TN","10.97","79.42","Ben Wu","5",5,4,1,2,NA,8,NA,18,4,134,7,3,12,0,2,NA,NA,NA,NA,NA,NA,NA
"12",4,4,"2015-08-19","IN","","s.jaisong@irri.org","",4,"testS","Kumbakonum","Thanjavur","IN-TN","10.97","79.42","Ben Wu","5",6,4,2,2,NA,9,NA,13,4,2,3,1,0,0,1,NA,NA,NA,NA,NA,NA,NA
"13",4,4,"2015-08-19","IN","","s.jaisong@irri.org","",4,"testS","Kumbakonum","Thanjavur","IN-TN","10.97","79.42","Ben Wu","5",6,4,2,2,NA,9,NA,14,4,126,6,1,7,0,2,NA,NA,NA,NA,NA,NA,NA
"14",4,4,"2015-08-19","IN","","s.jaisong@irri.org","",4,"testS","Kumbakonum","Thanjavur","IN-TN","10.97","79.42","Ben Wu","5",6,4,2,2,NA,9,NA,15,4,56,6,2,7,0,2,NA,NA,NA,NA,NA,NA,NA
"15",4,4,"2015-08-19","IN","","s.jaisong@irri.org","",4,"testS","Kumbakonum","Thanjavur","IN-TN","10.97","79.42","Ben Wu","5",6,4,2,2,NA,9,NA,16,4,149,7,1,12,0,3,NA,NA,NA,NA,NA,NA,NA
"16",4,4,"2015-08-19","IN","","s.jaisong@irri.org","",4,"testS","Kumbakonum","Thanjavur","IN-TN","10.97","79.42","Ben Wu","5",6,4,2,2,NA,9,NA,17,4,140,7,2,12,0,3,NA,NA,NA,NA,NA,NA,NA
"17",4,4,"2015-08-19","IN","","s.jaisong@irri.org","",4,"testS","Kumbakonum","Thanjavur","IN-TN","10.97","79.42","Ben Wu","5",6,4,2,2,NA,9,NA,18,4,134,7,3,12,0,2,NA,NA,NA,NA,NA,NA,NA
"18",4,4,"2015-08-19","IN","","s.jaisong@irri.org","",4,"testS","Kumbakonum","Thanjavur","IN-TN","10.97","79.42","Ben Wu","5",7,4,3,3,NA,7,NA,13,4,2,3,1,0,0,1,NA,NA,NA,NA,NA,NA,NA
"19",4,4,"2015-08-19","IN","","s.jaisong@irri.org","",4,"testS","Kumbakonum","Thanjavur","IN-TN","10.97","79.42","Ben Wu","5",7,4,3,3,NA,7,NA,14,4,126,6,1,7,0,2,NA,NA,NA,NA,NA,NA,NA
"20",4,4,"2015-08-19","IN","","s.jaisong@irri.org","",4,"testS","Kumbakonum","Thanjavur","IN-TN","10.97","79.42","Ben Wu","5",7,4,3,3,NA,7,NA,15,4,56,6,2,7,0,2,NA,NA,NA,NA,NA,NA,NA
"21",4,4,"2015-08-19","IN","","s.jaisong@irri.org","",4,"testS","Kumbakonum","Thanjavur","IN-TN","10.97","79.42","Ben Wu","5",7,4,3,3,NA,7,NA,16,4,149,7,1,12,0,3,NA,NA,NA,NA,NA,NA,NA
"22",4,4,"2015-08-19","IN","","s.jaisong@irri.org","",4,"testS","Kumbakonum","Thanjavur","IN-TN","10.97","79.42","Ben Wu","5",7,4,3,3,NA,7,NA,17,4,140,7,2,12,0,3,NA,NA,NA,NA,NA,NA,NA
"23",4,4,"2015-08-19","IN","","s.jaisong@irri.org","",4,"testS","Kumbakonum","Thanjavur","IN-TN","10.97","79.42","Ben Wu","5",7,4,3,3,NA,7,NA,18,4,134,7,3,12,0,2,NA,NA,NA,NA,NA,NA,NA
"24",4,4,"2015-08-19","IN","","s.jaisong@irri.org","",4,"testS","Kumbakonum","Thanjavur","IN-TN","10.97","79.42","Ben Wu","5",8,4,4,1,41,4,1,13,4,2,3,1,0,0,1,NA,NA,NA,NA,NA,NA,NA
"25",4,4,"2015-08-19","IN","","s.jaisong@irri.org","",4,"testS","Kumbakonum","Thanjavur","IN-TN","10.97","79.42","Ben Wu","5",8,4,4,1,41,4,1,14,4,126,6,1,7,0,2,NA,NA,NA,NA,NA,NA,NA
"26",4,4,"2015-08-19","IN","","s.jaisong@irri.org","",4,"testS","Kumbakonum","Thanjavur","IN-TN","10.97","79.42","Ben Wu","5",8,4,4,1,41,4,1,15,4,56,6,2,7,0,2,NA,NA,NA,NA,NA,NA,NA
"27",4,4,"2015-08-19","IN","","s.jaisong@irri.org","",4,"testS","Kumbakonum","Thanjavur","IN-TN","10.97","79.42","Ben Wu","5",8,4,4,1,41,4,1,16,4,149,7,1,12,0,3,NA,NA,NA,NA,NA,NA,NA
"28",4,4,"2015-08-19","IN","","s.jaisong@irri.org","",4,"testS","Kumbakonum","Thanjavur","IN-TN","10.97","79.42","Ben Wu","5",8,4,4,1,41,4,1,17,4,140,7,2,12,0,3,NA,NA,NA,NA,NA,NA,NA
"29",4,4,"2015-08-19","IN","","s.jaisong@irri.org","",4,"testS","Kumbakonum","Thanjavur","IN-TN","10.97","79.42","Ben Wu","5",8,4,4,1,41,4,1,18,4,134,7,3,12,0,2,NA,NA,NA,NA,NA,NA,NA
"30",5,5,"2015-08-19","IN","","ben.wu@syngenta.com","",34,"Test ","AAA","Kumbakonam","IN-TN","10.5559","79.2454","Ben Wu","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",6,6,"2015-08-19","VN","","dinh_tuan.ha@syngenta.com","",36,"ddf","Kokkur-Kuddadam","Nagappattinam","VN-SG","10.5666","105.1324","S,udhradathi","2.5",2,6,1,1,41,5,1,5,6,115,6,1,7,0,1,NA,NA,NA,NA,NA,NA,NA
"32",6,6,"2015-08-19","VN","","dinh_tuan.ha@syngenta.com","",36,"ddf","Kokkur-Kuddadam","Nagappattinam","VN-SG","10.5666","105.1324","S,udhradathi","2.5",2,6,1,1,41,5,1,6,6,76,6,2,8,0,1,NA,NA,NA,NA,NA,NA,NA
"33",6,6,"2015-08-19","VN","","dinh_tuan.ha@syngenta.com","",36,"ddf","Kokkur-Kuddadam","Nagappattinam","VN-SG","10.5666","105.1324","S,udhradathi","2.5",2,6,1,1,41,5,1,7,6,134,7,1,6,0,1,NA,NA,NA,NA,NA,NA,NA
"34",6,6,"2015-08-19","VN","","dinh_tuan.ha@syngenta.com","",36,"ddf","Kokkur-Kuddadam","Nagappattinam","VN-SG","10.5666","105.1324","S,udhradathi","2.5",2,6,1,1,41,5,1,8,6,152,7,2,8,0,1,NA,NA,NA,NA,NA,NA,NA
"35",6,6,"2015-08-19","VN","","dinh_tuan.ha@syngenta.com","",36,"ddf","Kokkur-Kuddadam","Nagappattinam","VN-SG","10.5666","105.1324","S,udhradathi","2.5",3,6,2,2,NA,6,NA,5,6,115,6,1,7,0,1,NA,NA,NA,NA,NA,NA,NA
"36",6,6,"2015-08-19","VN","","dinh_tuan.ha@syngenta.com","",36,"ddf","Kokkur-Kuddadam","Nagappattinam","VN-SG","10.5666","105.1324","S,udhradathi","2.5",3,6,2,2,NA,6,NA,6,6,76,6,2,8,0,1,NA,NA,NA,NA,NA,NA,NA
"37",6,6,"2015-08-19","VN","","dinh_tuan.ha@syngenta.com","",36,"ddf","Kokkur-Kuddadam","Nagappattinam","VN-SG","10.5666","105.1324","S,udhradathi","2.5",3,6,2,2,NA,6,NA,7,6,134,7,1,6,0,1,NA,NA,NA,NA,NA,NA,NA
"38",6,6,"2015-08-19","VN","","dinh_tuan.ha@syngenta.com","",36,"ddf","Kokkur-Kuddadam","Nagappattinam","VN-SG","10.5666","105.1324","S,udhradathi","2.5",3,6,2,2,NA,6,NA,8,6,152,7,2,8,0,1,NA,NA,NA,NA,NA,NA,NA
"39",7,6,"2015-08-19","ID","","ridwan.mustofa@syngenta.com","",31,"Test","Wadas","Karawang","ID-JB","-6.302222222222222","107.71916666666667","Daman","0.5",4,7,1,1,27,1,1,9,7,3,3,1,0,0,1,NA,NA,NA,NA,NA,NA,NA
"40",7,6,"2015-08-19","ID","","ridwan.mustofa@syngenta.com","",31,"Test","Wadas","Karawang","ID-JB","-6.302222222222222","107.71916666666667","Daman","0.5",4,7,1,1,27,1,1,10,7,79,6,1,7,0,1,NA,NA,NA,NA,NA,NA,NA
"41",7,6,"2015-08-19","ID","","ridwan.mustofa@syngenta.com","",31,"Test","Wadas","Karawang","ID-JB","-6.302222222222222","107.71916666666667","Daman","0.5",4,7,1,1,27,1,1,11,7,132,7,1,9,0,2,NA,NA,NA,NA,NA,NA,NA
"42",7,6,"2015-08-19","ID","","ridwan.mustofa@syngenta.com","",31,"Test","Wadas","Karawang","ID-JB","-6.302222222222222","107.71916666666667","Daman","0.5",4,7,1,1,27,1,1,12,7,140,7,2,9,0,2,NA,NA,NA,NA,NA,NA,NA
"43",8,5,"2015-08-19","VN","","minh_khoi.le@syngenta.com","",38,"Khoi","Minh Duc","Tu Ky","VN-61","20.46","106.45","Kumbalingam","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",9,5,"2015-08-19","VN","","minh_khoi.le@syngenta.com","",38,"Khoi ","Minh Duc","Tu Ky","VN-61","20.793","106.384","Nguyen Thi Thoa","0.09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",10,5,"2015-08-19","VN","","minh_khoi.le@syngenta.com","",38,"Khoi ","Minh Duc","Tu Ky","VN-61","20.793","106.384","Nguyen Thi Thoa","0.09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",11,5,"2015-08-19","VN","","minh_khoi.le@syngenta.com","",38,"Khoi ","Adutharai","Thanjavur","VN-61","20.46","16.45","Kumbalingam","3",11,11,1,2,NA,7,NA,19,11,68,6,1,7,0,1,NA,NA,NA,NA,NA,NA,NA
"47",11,5,"2015-08-19","VN","","minh_khoi.le@syngenta.com","",38,"Khoi ","Adutharai","Thanjavur","VN-61","20.46","16.45","Kumbalingam","3",11,11,1,2,NA,7,NA,20,11,134,7,1,8,0,1,NA,NA,NA,NA,NA,NA,NA
"48",11,5,"2015-08-19","VN","","minh_khoi.le@syngenta.com","",38,"Khoi ","Adutharai","Thanjavur","VN-61","20.46","16.45","Kumbalingam","3",12,11,2,2,NA,8,NA,19,11,68,6,1,7,0,1,NA,NA,NA,NA,NA,NA,NA
"49",11,5,"2015-08-19","VN","","minh_khoi.le@syngenta.com","",38,"Khoi ","Adutharai","Thanjavur","VN-61","20.46","16.45","Kumbalingam","3",12,11,2,2,NA,8,NA,20,11,134,7,1,8,0,1,NA,NA,NA,NA,NA,NA,NA
"50",12,5,"2015-08-19","IN","","ben.wu@syngenta.com","",34,"Test_","Kegmearuthuvakudi, Aduthra","Tanjavore","IN-TN","10.933","79.414","Kumbalingam","3",16,12,1,2,NA,7,NA,24,12,134,7,1,5,0,1,NA,NA,NA,NA,NA,NA,NA
"51",12,5,"2015-08-19","IN","","ben.wu@syngenta.com","",34,"Test_","Kegmearuthuvakudi, Aduthra","Tanjavore","IN-TN","10.933","79.414","Kumbalingam","3",17,12,2,2,NA,12,NA,24,12,134,7,1,5,0,1,NA,NA,NA,NA,NA,NA,NA
"52",13,6,"2015-08-19","TH","","terdphong.mahawong@syngenta.com","",25,"1","Panangattangudy","Tanjore","TH-72","10.5559","79.2425","Alagurajan","4",9,13,1,1,4,3,1,29,13,1,3,1,0,0,1,NA,NA,NA,NA,NA,NA,NA
"53",13,6,"2015-08-19","TH","","terdphong.mahawong@syngenta.com","",25,"1","Panangattangudy","Tanjore","TH-72","10.5559","79.2425","Alagurajan","4",10,13,2,2,NA,8,NA,29,13,1,3,1,0,0,1,NA,NA,NA,NA,NA,NA,NA
"54",14,6,"2015-08-19","ID","","ridwan.mustofa@syngenta.com","",31,"Test_","Koezhamaruthevakudi","Tanjur","ID-JB","10.15","79.06666666666666","Ramesh","1",13,14,1,2,NA,7,NA,21,14,115,6,1,8,0,3,NA,NA,NA,NA,NA,NA,NA
"55",14,6,"2015-08-19","ID","","ridwan.mustofa@syngenta.com","",31,"Test_","Koezhamaruthevakudi","Tanjur","ID-JB","10.15","79.06666666666666","Ramesh","1",13,14,1,2,NA,7,NA,22,14,100,6,2,14,0,3,NA,NA,NA,NA,NA,NA,NA
"56",14,6,"2015-08-19","ID","","ridwan.mustofa@syngenta.com","",31,"Test_","Koezhamaruthevakudi","Tanjur","ID-JB","10.15","79.06666666666666","Ramesh","1",13,14,1,2,NA,7,NA,23,14,134,7,1,4,0,3,NA,NA,NA,NA,NA,NA,NA
"57",14,6,"2015-08-19","ID","","ridwan.mustofa@syngenta.com","",31,"Test_","Koezhamaruthevakudi","Tanjur","ID-JB","10.15","79.06666666666666","Ramesh","1",14,14,2,2,NA,9,NA,21,14,115,6,1,8,0,3,NA,NA,NA,NA,NA,NA,NA
"58",14,6,"2015-08-19","ID","","ridwan.mustofa@syngenta.com","",31,"Test_","Koezhamaruthevakudi","Tanjur","ID-JB","10.15","79.06666666666666","Ramesh","1",14,14,2,2,NA,9,NA,22,14,100,6,2,14,0,3,NA,NA,NA,NA,NA,NA,NA
"59",14,6,"2015-08-19","ID","","ridwan.mustofa@syngenta.com","",31,"Test_","Koezhamaruthevakudi","Tanjur","ID-JB","10.15","79.06666666666666","Ramesh","1",14,14,2,2,NA,9,NA,23,14,134,7,1,4,0,3,NA,NA,NA,NA,NA,NA,NA
"60",14,6,"2015-08-19","ID","","ridwan.mustofa@syngenta.com","",31,"Test_","Koezhamaruthevakudi","Tanjur","ID-JB","10.15","79.06666666666666","Ramesh","1",15,14,3,1,11,5,3,21,14,115,6,1,8,0,3,NA,NA,NA,NA,NA,NA,NA
"61",14,6,"2015-08-19","ID","","ridwan.mustofa@syngenta.com","",31,"Test_","Koezhamaruthevakudi","Tanjur","ID-JB","10.15","79.06666666666666","Ramesh","1",15,14,3,1,11,5,3,22,14,100,6,2,14,0,3,NA,NA,NA,NA,NA,NA,NA
"62",14,6,"2015-08-19","ID","","ridwan.mustofa@syngenta.com","",31,"Test_","Koezhamaruthevakudi","Tanjur","ID-JB","10.15","79.06666666666666","Ramesh","1",15,14,3,1,11,5,3,23,14,134,7,1,4,0,3,NA,NA,NA,NA,NA,NA,NA
"63",15,6,"2015-08-19","IN","","subash.barik@syngenta.com","",41,"Plot ","Sakotai, Karpur","Tanjavour","IN-TN","10.97","79.42","S. Kankuain","4.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",16,5,"2015-08-19","IN","","kishenjit.sinha@syngenta.com","",43,"Test_","Malayur","Thanjavur","IN-TN","10.97","79.42","Alagaraja","4",18,16,1,3,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",17,6,"2015-08-19","IN","","ajay.singh@syngenta.com","",39,"123","Kokkur","Nagappattinam","IN-TN","-6.8756","107.8765","Sudhradathi","2",19,17,1,1,41,5,1,25,17,115,6,1,6,0,1,NA,NA,NA,NA,NA,NA,NA
"66",17,6,"2015-08-19","IN","","ajay.singh@syngenta.com","",39,"123","Kokkur","Nagappattinam","IN-TN","-6.8756","107.8765","Sudhradathi","2",19,17,1,1,41,5,1,26,17,76,6,2,8,0,1,NA,NA,NA,NA,NA,NA,NA
"67",17,6,"2015-08-19","IN","","ajay.singh@syngenta.com","",39,"123","Kokkur","Nagappattinam","IN-TN","-6.8756","107.8765","Sudhradathi","2",19,17,1,1,41,5,1,27,17,134,7,1,6,0,1,NA,NA,NA,NA,NA,NA,NA
"68",17,6,"2015-08-19","IN","","ajay.singh@syngenta.com","",39,"123","Kokkur","Nagappattinam","IN-TN","-6.8756","107.8765","Sudhradathi","2",19,17,1,1,41,5,1,28,17,152,7,2,8,0,1,NA,NA,NA,NA,NA,NA,NA
"69",17,6,"2015-08-19","IN","","ajay.singh@syngenta.com","",39,"123","Kokkur","Nagappattinam","IN-TN","-6.8756","107.8765","Sudhradathi","2",20,17,2,2,NA,7,NA,25,17,115,6,1,6,0,1,NA,NA,NA,NA,NA,NA,NA
"70",17,6,"2015-08-19","IN","","ajay.singh@syngenta.com","",39,"123","Kokkur","Nagappattinam","IN-TN","-6.8756","107.8765","Sudhradathi","2",20,17,2,2,NA,7,NA,26,17,76,6,2,8,0,1,NA,NA,NA,NA,NA,NA,NA
"71",17,6,"2015-08-19","IN","","ajay.singh@syngenta.com","",39,"123","Kokkur","Nagappattinam","IN-TN","-6.8756","107.8765","Sudhradathi","2",20,17,2,2,NA,7,NA,27,17,134,7,1,6,0,1,NA,NA,NA,NA,NA,NA,NA
"72",17,6,"2015-08-19","IN","","ajay.singh@syngenta.com","",39,"123","Kokkur","Nagappattinam","IN-TN","-6.8756","107.8765","Sudhradathi","2",20,17,2,2,NA,7,NA,28,17,152,7,2,8,0,1,NA,NA,NA,NA,NA,NA,NA
"73",18,3,"2015-08-19","IN","","rajesh.kumar@syngenta.com","",42,"Rajes","Krishnapuram","Kumbakonam","IN-TN","10.97","79.42","Govinda Rajan","4.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",19,5,"2015-08-26","VN","","minh_khoi.le@syngenta.com","",38,"Trung","Quan hamlet, Minh Duc commune","Tu Ky","VN-61","20.800","106.391","Vu Thi Van","0.08",21,19,1,1,43,5,1,30,19,95,6,1,12,0,1,NA,NA,NA,NA,NA,NA,NA
"75",19,5,"2015-08-26","VN","","minh_khoi.le@syngenta.com","",38,"Trung","Quan hamlet, Minh Duc commune","Tu Ky","VN-61","20.800","106.391","Vu Thi Van","0.08",21,19,1,1,43,5,1,31,19,95,6,2,13,0,2,NA,NA,NA,NA,NA,NA,NA
"76",19,5,"2015-08-26","VN","","minh_khoi.le@syngenta.com","",38,"Trung","Quan hamlet, Minh Duc commune","Tu Ky","VN-61","20.800","106.391","Vu Thi Van","0.08",21,19,1,1,43,5,1,32,19,87,6,3,9,0,1,NA,NA,NA,NA,NA,NA,NA
"77",19,5,"2015-08-26","VN","","minh_khoi.le@syngenta.com","",38,"Trung","Quan hamlet, Minh Duc commune","Tu Ky","VN-61","20.800","106.391","Vu Thi Van","0.08",21,19,1,1,43,5,1,33,19,56,6,4,13,0,2,NA,NA,NA,NA,NA,NA,NA
"78",19,5,"2015-08-26","VN","","minh_khoi.le@syngenta.com","",38,"Trung","Quan hamlet, Minh Duc commune","Tu Ky","VN-61","20.800","106.391","Vu Thi Van","0.08",21,19,1,1,43,5,1,34,19,87,6,5,13,0,2,NA,NA,NA,NA,NA,NA,NA
"79",19,5,"2015-08-26","VN","","minh_khoi.le@syngenta.com","",38,"Trung","Quan hamlet, Minh Duc commune","Tu Ky","VN-61","20.800","106.391","Vu Thi Van","0.08",21,19,1,1,43,5,1,35,19,160,7,1,9,0,1,NA,NA,NA,NA,NA,NA,NA
"80",19,5,"2015-08-26","VN","","minh_khoi.le@syngenta.com","",38,"Trung","Quan hamlet, Minh Duc commune","Tu Ky","VN-61","20.800","106.391","Vu Thi Van","0.08",21,19,1,1,43,5,1,36,19,160,7,2,13,0,1,NA,NA,NA,NA,NA,NA,NA
"81",19,5,"2015-08-26","VN","","minh_khoi.le@syngenta.com","",38,"Trung","Quan hamlet, Minh Duc commune","Tu Ky","VN-61","20.800","106.391","Vu Thi Van","0.08",22,19,2,2,NA,9,NA,30,19,95,6,1,12,0,1,NA,NA,NA,NA,NA,NA,NA
"82",19,5,"2015-08-26","VN","","minh_khoi.le@syngenta.com","",38,"Trung","Quan hamlet, Minh Duc commune","Tu Ky","VN-61","20.800","106.391","Vu Thi Van","0.08",22,19,2,2,NA,9,NA,31,19,95,6,2,13,0,2,NA,NA,NA,NA,NA,NA,NA
"83",19,5,"2015-08-26","VN","","minh_khoi.le@syngenta.com","",38,"Trung","Quan hamlet, Minh Duc commune","Tu Ky","VN-61","20.800","106.391","Vu Thi Van","0.08",22,19,2,2,NA,9,NA,32,19,87,6,3,9,0,1,NA,NA,NA,NA,NA,NA,NA
"84",19,5,"2015-08-26","VN","","minh_khoi.le@syngenta.com","",38,"Trung","Quan hamlet, Minh Duc commune","Tu Ky","VN-61","20.800","106.391","Vu Thi Van","0.08",22,19,2,2,NA,9,NA,33,19,56,6,4,13,0,2,NA,NA,NA,NA,NA,NA,NA
"85",19,5,"2015-08-26","VN","","minh_khoi.le@syngenta.com","",38,"Trung","Quan hamlet, Minh Duc commune","Tu Ky","VN-61","20.800","106.391","Vu Thi Van","0.08",22,19,2,2,NA,9,NA,34,19,87,6,5,13,0,2,NA,NA,NA,NA,NA,NA,NA
"86",19,5,"2015-08-26","VN","","minh_khoi.le@syngenta.com","",38,"Trung","Quan hamlet, Minh Duc commune","Tu Ky","VN-61","20.800","106.391","Vu Thi Van","0.08",22,19,2,2,NA,9,NA,35,19,160,7,1,9,0,1,NA,NA,NA,NA,NA,NA,NA
"87",19,5,"2015-08-26","VN","","minh_khoi.le@syngenta.com","",38,"Trung","Quan hamlet, Minh Duc commune","Tu Ky","VN-61","20.800","106.391","Vu Thi Van","0.08",22,19,2,2,NA,9,NA,36,19,160,7,2,13,0,1,NA,NA,NA,NA,NA,NA,NA
"88",20,5,"2015-08-26","VN","","minh_khoi.le@syngenta.com","",38,"Trung","Quan hamlet, Minh Duc commune","Tu Ky","VN-61","20.797","106.385","Nguyen Thi Nguyet","0.08",24,20,1,1,43,5,1,41,20,95,6,1,12,0,1,NA,NA,NA,NA,NA,NA,NA
"89",20,5,"2015-08-26","VN","","minh_khoi.le@syngenta.com","",38,"Trung","Quan hamlet, Minh Duc commune","Tu Ky","VN-61","20.797","106.385","Nguyen Thi Nguyet","0.08",24,20,1,1,43,5,1,42,20,134,7,1,12,0,1,NA,NA,NA,NA,NA,NA,NA
"90",21,6,"2015-08-26","VN","","minh_khoi.le@syngenta.com","",38,"Trung","Quan hamlet, Minh Duc commune","Tu Ky","VN-61","20.799","106.394","Nguyen Thi Ly","0.07",23,21,1,2,NA,7,NA,37,21,79,6,1,13,0,3,NA,NA,NA,NA,NA,NA,NA
"91",21,6,"2015-08-26","VN","","minh_khoi.le@syngenta.com","",38,"Trung","Quan hamlet, Minh Duc commune","Tu Ky","VN-61","20.799","106.394","Nguyen Thi Ly","0.07",23,21,1,2,NA,7,NA,38,21,76,6,2,13,0,3,NA,NA,NA,NA,NA,NA,NA
"92",21,6,"2015-08-26","VN","","minh_khoi.le@syngenta.com","",38,"Trung","Quan hamlet, Minh Duc commune","Tu Ky","VN-61","20.799","106.394","Nguyen Thi Ly","0.07",23,21,1,2,NA,7,NA,39,21,99,6,3,13,0,2,NA,NA,NA,NA,NA,NA,NA
"93",21,6,"2015-08-26","VN","","minh_khoi.le@syngenta.com","",38,"Trung","Quan hamlet, Minh Duc commune","Tu Ky","VN-61","20.799","106.394","Nguyen Thi Ly","0.07",23,21,1,2,NA,7,NA,40,21,134,7,1,13,0,1,NA,NA,NA,NA,NA,NA,NA
"94",22,5,"2015-08-28","VN","","minh_khoi.le@syngenta.com","",38,"Trung","Quan hamlet, Minh Duc commune","Tu Ky","VN-61","20.797","106.386","Nguyen Thi Nhinh","0.1",25,22,1,1,11,5,1,43,22,79,6,1,9,0,2,NA,NA,NA,NA,NA,NA,NA
"95",22,5,"2015-08-28","VN","","minh_khoi.le@syngenta.com","",38,"Trung","Quan hamlet, Minh Duc commune","Tu Ky","VN-61","20.797","106.386","Nguyen Thi Nhinh","0.1",25,22,1,1,11,5,1,44,22,76,6,2,9,0,2,NA,NA,NA,NA,NA,NA,NA
"96",22,5,"2015-08-28","VN","","minh_khoi.le@syngenta.com","",38,"Trung","Quan hamlet, Minh Duc commune","Tu Ky","VN-61","20.797","106.386","Nguyen Thi Nhinh","0.1",25,22,1,1,11,5,1,45,22,58,6,3,13,0,2,NA,NA,NA,NA,NA,NA,NA
"97",22,5,"2015-08-28","VN","","minh_khoi.le@syngenta.com","",38,"Trung","Quan hamlet, Minh Duc commune","Tu Ky","VN-61","20.797","106.386","Nguyen Thi Nhinh","0.1",25,22,1,1,11,5,1,46,22,100,6,4,13,0,2,NA,NA,NA,NA,NA,NA,NA
"98",22,5,"2015-08-28","VN","","minh_khoi.le@syngenta.com","",38,"Trung","Quan hamlet, Minh Duc commune","Tu Ky","VN-61","20.797","106.386","Nguyen Thi Nhinh","0.1",25,22,1,1,11,5,1,47,22,134,7,1,13,0,3,NA,NA,NA,NA,NA,NA,NA
